"Age"	"Height"	"Weight"
"adult"	58.07075	125.84
"adult"	59.01563	171.6
"adult"	63.54318	139.48
"adult"	60.39358	130.9
"adult"	64.48806	114.18
"adult"	60.39358	266.2
"adult"	65.15735	162.8
"child"	62.00775	161.92
"child"	63.54318	89.76
"child"	65.90538	222.64
"child"	63.50381	115.72
"child"	56.06288	66.66
"adult"	70.0786	208.56
"adult"	60.31484	128.48
"child"	63.50381	88.88
"child"	35.90544	31.46
"child"	57.71642	140.58
"adult"	60.86602	138.16
"child"	62.00775	179.08
"adult"	62.08649	167.86
"adult"	65.98412	149.6
"child"	66.88963	148.5
"adult"	62.08649	180.62
"adult"	62.00775	131.56
"adult"	60.70854	128.26
"adult"	63.93688	129.14
"child"	49.36998	92.4
"child"	63.7794	111.76
"child"	63.42507	203.72
"adult"	63.97625	152.46
"child"	48.58258	54.56
"adult"	65.3542	192.06
"child"	37.63772	32.34
"adult"	61.96838	110.22
"child"	66.69278	111.32
"adult"	62.40145	116.38
"child"	62.28334	199.1
"child"	60.59043	100.98
"child"	58.74004	135.74
"adult"	61.37783	141.24
"adult"	64.5668	160.6
"adult"	60.59043	107.8
"adult"	62.36208	202.62
"child"	58.38571	77.22
"adult"	65.55105	150.48
"adult"	64.64554	117.26
"child"	39.80307	26.4
"child"	36.96843	31.02
"adult"	66.5353	147.18
"adult"	62.12586	270.6
"child"	44.92117	42.02
"adult"	64.9605	245.08
"adult"	59.48807	114.4
"adult"	59.36996	196.9
"child"	51.53533	49.72
"child"	58.14949	128.48
"adult"	67.79514	172.26
"adult"	59.33059	79.86
"adult"	66.1416	196.68
"adult"	70.11797	199.1
"adult"	64.99987	134.2
"adult"	63.89751	126.06
"adult"	65.66916	167.86
"child"	58.74004	82.06
"child"	47.99203	85.14
"adult"	62.04712	140.14
"adult"	62.12586	169.4
"child"	60.2361	146.96
"adult"	65.86601	174.9
"adult"	66.22034	183.04
"adult"	64.05499	98.56
"child"	50.3936	66.88
"child"	59.8424	116.82
"adult"	66.5353	267.96
"child"	49.9999	50.82
"adult"	62.75578	143.22
"child"	54.17312	134.64
"adult"	62.28334	139.7
"adult"	62.83452	146.3
"child"	56.2991	105.82
"adult"	66.69278	203.28
"adult"	61.61405	183.48
"child"	62.32271	190.3
"child"	61.61405	125.84
"adult"	64.80302	174.46
"adult"	62.79515	138.38
"adult"	56.41721	142.56
"child"	61.53531	102.52
"child"	47.16526	52.8
"child"	53.34635	66
"adult"	64.84239	128.92
"adult"	56.85028	237.16
"child"	45.86605	55.22
"adult"	64.9605	201.3
"adult"	66.18097	126.5
"adult"	63.7794	174.9
"child"	52.7558	54.12
"child"	63.70066	176
"adult"	65.90538	141.02
"child"	62.2046	241.78
"adult"	65.86601	175.12
"adult"	61.73216	163.46
"adult"	60.51169	201.08
"adult"	64.80302	206.36
"child"	61.18098	115.06
"adult"	64.13373	164.12
"adult"	70.866	141.9
"child"	66.77152	160.38
"adult"	63.18885	115.72
"child"	43.54322	41.14
"adult"	61.73216	143.44
"child"	56.10225	87.78
"adult"	63.7794	209.66
"adult"	62.36208	113.08
"child"	66.02349	166.32
"child"	55.78729	113.08
"adult"	64.52743	78.98
"adult"	61.92901	169.4
"adult"	65.86601	136.4
"adult"	65.19672	246.84
"adult"	65.07861	143.66
"adult"	64.92113	182.16
"adult"	64.99987	271.48
"adult"	68.85813	245.74
"adult"	65.51168	161.26
"child"	37.48024	31.24
"adult"	58.97626	114.84
"child"	55.35422	93.72
"child"	61.25972	111.76
"child"	64.60617	191.62
"child"	57.71642	84.92
"child"	58.85815	113.96
"adult"	64.5668	218.02
"adult"	60.07862	145.2
"child"	33.97631	27.72
"adult"	65.15735	201.96
"child"	53.34635	105.38
"child"	41.92905	43.34
"adult"	65.55105	303.16
"child"	62.51956	137.94
"child"	49.29124	55.22
"adult"	61.73216	132.88
"adult"	65.11798	202.18
"child"	66.929	218.68
"child"	34.88182	33.22
"adult"	67.79514	161.04
"child"	64.01562	196.24
"adult"	68.1101	158.84
"adult"	64.40932	181.94
"adult"	62.79515	184.58
"adult"	60.19673	119.68
"child"	62.51956	122.32
"child"	62.87389	99.44
"adult"	66.45656	187.66
"adult"	66.81089	234.96
"adult"	63.93688	185.9
"adult"	64.05499	136.4
"child"	63.11011	125.4
"child"	65.78727	181.28
"adult"	64.99987	141.68
"adult"	65.98412	139.48
"adult"	60.66917	112.64
"child"	64.01562	137.72
"adult"	70.59041	205.7
"child"	51.37785	60.5
"adult"	63.74003	177.1
"adult"	67.95262	127.16
"adult"	59.56681	129.58
"adult"	60.55106	120.34
"child"	49.72431	52.58
"adult"	64.01562	141.24
"child"	38.70071	37.84
"adult"	65.55105	149.6
"child"	64.1731	126.94
"adult"	66.37782	242
"child"	54.21249	77.22
"adult"	62.55893	154.22
"child"	38.1889	29.48
"adult"	65.47231	183.7
"adult"	63.3857	113.52
"adult"	59.60618	182.16
"adult"	60.6298	110.66
"child"	41.41724	37.18
"adult"	65.15735	170.94
"child"	41.45661	43.78
"adult"	61.37783	173.36
"child"	62.00775	132.66
"child"	45.74794	43.78
"adult"	62.2046	107.36
"adult"	61.8109	223.96
"adult"	63.07074	254.76
"child"	67.79514	133.54
"adult"	62.75578	171.16
"child"	50.07864	59.84
"child"	48.18888	48.62
"adult"	64.99987	172.04
"child"	65.78727	168.52
"adult"	65.90538	135.74
"child"	37.83457	28.16
"child"	61.88964	207.46
"adult"	69.92112	231
"adult"	59.13374	130.68
"adult"	63.93688	124.96
"child"	53.22824	66
"child"	64.92113	194.7
"child"	63.03137	243.54
"child"	72.20458	276.98
"adult"	66.22034	140.36
"adult"	62.87389	148.5
"child"	52.3621	79.2
"adult"	67.44081	180.18
"child"	68.46443	132.88
"child"	65.47231	131.78
"adult"	64.52743	181.06
"adult"	63.7794	221.54
"child"	63.18885	156.42
"adult"	67.04711	168.74
"adult"	62.51956	188.76
"adult"	65.62979	252.78
"adult"	60.19673	151.58
"child"	62.40145	112.42
"adult"	69.09435	138.6
"adult"	63.7794	122.54
"child"	49.52746	64.68
"adult"	59.33059	143.44
"adult"	57.0865	109.34
"child"	57.44083	89.32
"child"	50.27549	60.28
"adult"	65.07861	256.3
"child"	61.73216	99
"adult"	62.36208	185.9
"adult"	61.49594	177.1
"adult"	70.11797	283.14
"adult"	62.2046	164.78
"child"	64.72428	169.84
"adult"	68.42506	208.78
"child"	69.40931	125.4
"adult"	66.61404	138.82
"adult"	61.8109	157.52
"adult"	61.96838	191.84
"adult"	63.62192	157.08
"child"	61.10224	157.52
"child"	59.33059	113.52
"child"	38.03142	31.46
"child"	50.90541	51.7
"adult"	61.73216	138.38
"adult"	60.35421	121.22
"adult"	60.86602	185.68
"child"	47.75581	50.82
"adult"	68.85813	201.74
"adult"	61.37783	128.48
"adult"	62.87389	174.02
"adult"	64.05499	159.28
"child"	31.85033	23.1
"adult"	63.14948	314.6
"child"	53.62194	92.4
"child"	59.96051	157.74
"adult"	61.69279	132.22
"adult"	66.81089	183.7
"adult"	66.85026	115.28
"adult"	65.27546	169.62
"child"	38.42512	41.58
"adult"	66.33845	169.84
"child"	37.83457	33.66
"adult"	61.25972	142.34
"adult"	66.5353	215.38
"adult"	62.51956	211.42
"adult"	67.04711	245.3
"child"	58.46445	152.24
"adult"	64.92113	222.2
"child"	42.44086	41.14
"child"	35.47237	38.28
"adult"	61.57468	257.18
"adult"	62.04712	178.86
"adult"	62.36208	160.16
"child"	63.14948	105.38
"adult"	62.5983	116.82
"adult"	66.85026	153.56
"adult"	61.37783	147.62
"adult"	65.11798	176.66
"adult"	61.18098	135.08
"child"	61.92901	134.42
"child"	58.89752	140.58
"adult"	65.23609	138.82
"adult"	61.92901	129.14
"adult"	68.8975	129.58
"adult"	65.7479	179.08
"adult"	65.90538	132.44
"adult"	63.07074	145.2
"child"	62.04712	154.44
"adult"	68.62191	149.16
"adult"	64.64554	170.5
"child"	46.69282	49.06
"child"	45.43298	45.76
"child"	52.87391	65.56
"child"	49.29124	57.42
"child"	67.04711	109.56
"child"	55.62981	128.48
"child"	63.85814	139.04
"adult"	66.88963	179.08
"child"	39.72433	32.12
"adult"	61.92901	135.52
"adult"	68.62191	198.44
"child"	64.88176	128.7
"child"	39.05504	34.76
"child"	60.43295	116.38
"adult"	59.60618	158.4
"adult"	62.28334	158.18
"child"	39.13378	36.3
"child"	65.11798	105.82
"child"	62.44082	123.64
"child"	63.81877	129.58
"adult"	63.46444	161.48
"child"	37.71646	35.86
"child"	64.25184	147.84
"child"	46.61408	41.58
"child"	38.38575	30.36
"adult"	66.33845	154.22
"adult"	64.84239	131.12
"adult"	62.87389	166.32
"child"	62.28334	213.62
"child"	63.54318	131.12
"adult"	61.85027	271.7
"child"	48.30699	50.82
